date,area_name,population,water_supplied_liters,water_consumed_liters,temperature_c,rainfall_mm,humidity_percent,complaints_count,leak_reports,supply_status
2024-01-01,Marudhamalai Road,11175,238998,324907,35.6,140.0,94.8,22,4,Normal
2024-01-01,Thirumalayampalayam,13916,64809,213273,27.8,33.8,55.3,0,2,Normal
2024-01-02,Gandhipuram,20100,81949,251152,33.1,86.5,62.9,7,6,Low Pressure
2024-01-02,RS Puram,19633,249089,111877,34.9,72.8,87.6,4,10,Normal
2024-01-02,Saibaba Colony,24103,341342,65254,34.6,86.8,80.2,33,5,Low Pressure
2024-01-02,Peelamedu,11017,198013,75934,28.9,126.6,62.4,32,7,Delayed
2024-01-02,Ukkadam,24499,130390,233401,36.5,132.9,52.4,16,9,Normal
2024-01-02,Singanallur,22963,185911,273777,32.2,48.6,55.5,10,2,Delayed
2024-01-02,Ganapathy,20144,215286,261791,23.7,19.4,77.0,3,7,Normal
2024-01-02,Saravanampatti,21271,88732,171465,25.0,115.1,62.3,21,4,Low Pressure
2024-01-02,Kalapatti,9376,207979,199849,37.1,18.0,61.5,26,8,Low Pressure
2024-01-02,Thudiyalur,13488,344718,224293,22.5,122.3,91.0,16,9,No Supply
2024-01-02,Koundampalayam,16568,250471,268803,24.8,51.9,69.2,25,11,Delayed
2024-01-02,Vadavalli,5125,104247,295121,34.5,5.1,57.6,6,2,Delayed
2024-01-02,Race Course,20302,98638,168033,29.1,74.6,57.1,24,6,Normal
2024-01-02,Town Hall,13267,281897,51062,26.8,29.6,61.4,24,0,Normal
2024-01-02,Sidhapudur,14475,168099,57561,35.2,69.8,49.3,21,1,Delayed
2024-01-02,Avinashi Road,10943,141264,73275,23.3,39.7,63.2,25,1,Delayed
2024-01-02,Ondipudur,13167,339404,162581,31.9,33.2,50.1,5,5,Delayed
2024-01-02,Hope College,9767,218211,237210,22.6,112.8,47.8,8,6,Delayed
2024-01-02,Chinniyampalayam,5590,326468,321255,23.0,55.7,93.5,3,5,Low Pressure
2024-01-02,Neelikonampalayam,16917,335378,310669,37.7,77.9,73.6,4,5,Low Pressure
2024-01-02,Podanur,12333,124323,141922,24.6,103.1,71.5,0,9,Low Pressure
2024-01-02,Kuniyamuthur,15607,102533,313972,30.1,130.5,61.0,2,0,Low Pressure
2024-01-02,Sundarapuram,15977,250455,115545,30.9,76.8,55.1,1,3,Normal
2024-01-02,Perur,4342,168872,297754,29.5,84.9,84.7,30,0,Normal
2024-01-02,Madukkarai,15219,322379,177309,37.8,138.7,55.3,34,2,Normal
2024-01-02,Kurichi,8415,227231,93925,21.9,109.4,86.4,13,11,Low Pressure
2024-01-02,Kuniamuthur,24204,75524,205002,32.4,127.1,60.8,24,1,No Supply
2024-01-02,Malumichampatti,12510,220359,89711,29.3,42.2,82.4,14,0,Normal
2024-01-02,Selvapuram,5192,225088,61246,27.9,76.1,90.3,5,5,Delayed
2024-01-02,Vellalore,20586,346663,317552,30.6,125.1,84.4,32,4,Delayed
2024-01-02,Chettipalayam,20334,324480,82265,29.9,105.6,50.1,12,3,Normal
2024-01-02,Irugur,9359,292604,114772,29.8,57.3,83.6,26,2,Delayed
2024-01-02,Sulur,13147,190330,121315,24.3,127.2,74.2,7,6,Delayed
2024-01-02,Nallampalayam,19729,136077,183515,37.4,19.5,50.0,32,7,No Supply
2024-01-02,Annur,22915,230987,261951,33.5,129.1,80.4,27,9,Normal
2024-01-02,Mettupalayam Road,24493,277138,225399,36.1,127.5,51.1,20,9,Low Pressure
2024-01-02,PN Palayam,17755,184085,150158,26.6,31.8,75.4,8,4,Normal
2024-01-02,Tatabad,22891,73224,90738,28.2,75.2,91.0,1,6,Low Pressure
2024-01-02,Lakshmi Mills,11666,197855,91914,29.1,19.7,53.8,6,3,Low Pressure
2024-01-02,Five Roads,22956,278967,144270,26.0,30.8,55.6,6,0,No Supply
2024-01-02,Puliakulam,22816,293619,205989,22.5,139.6,70.1,0,6,Delayed
2024-01-02,Udayampalayam,3951,153501,314223,29.4,87.5,63.9,15,7,Delayed
2024-01-02,Ramanathapuram,21449,124077,229374,30.5,74.8,69.1,29,5,Delayed
2024-01-02,Trichy Road,24310,246240,102487,36.5,132.5,63.7,9,2,Low Pressure
2024-01-02,Peedampalli,22835,273046,155947,36.1,121.4,65.4,2,7,Delayed
2024-01-02,Kovilpalayam,13682,123230,295756,31.7,47.5,73.5,32,11,Delayed
2024-01-02,Idigarai,16575,133506,84911,38.8,84.4,85.3,15,3,No Supply
2024-01-02,NGGO Colony,11356,181300,136925,26.3,125.5,45.7,6,0,Delayed
2024-01-02,Sitra,23626,227292,194931,32.6,98.6,90.5,4,3,Delayed
2024-01-02,Vilangudi,7841,206430,280785,27.5,4.8,86.5,29,8,Low Pressure
2024-01-02,Edayarpalayam,10083,180674,307529,34.7,19.6,88.4,22,0,Low Pressure
2024-01-02,Karumathampatti,6186,87856,52573,34.4,97.8,65.1,8,5,Low Pressure
2024-01-02,Kovaipudur,21925,176739,288009,37.2,96.8,79.2,5,1,No Supply
2024-01-02,Telungupalayam,8475,248456,81653,22.2,56.7,69.9,11,6,Normal
2024-01-02,Sivanandhapuram,11041,76725,242468,25.7,37.3,81.6,33,11,Normal
2024-01-02,Appanaickenpatti,18156,284137,210445,30.3,6.6,53.3,0,2,Normal
2024-01-02,Vadavalli West,14555,113276,107492,36.1,61.2,90.8,34,5,Low Pressure
2024-01-02,Kamarajar Road,23534,326997,170900,29.7,37.8,72.0,18,2,No Supply
2024-01-02,Red Fields,18850,181789,205130,31.7,46.8,83.5,8,8,No Supply
2024-01-02,Bharathi Nagar,8136,94008,255738,31.8,64.4,48.8,29,5,Low Pressure
2024-01-02,Balaji Nagar,21706,151748,175995,35.5,134.7,84.5,11,7,Delayed
2024-01-02,Sri Ram Nagar,8895,203326,232932,34.7,101.4,76.9,7,8,Low Pressure
2024-01-02,Vivekananda Nagar,24771,137454,307594,38.8,132.2,47.0,9,6,Normal
2024-01-02,Shanmuga Nagar,15182,147833,94813,23.2,102.3,54.6,7,1,Delayed
2024-01-02,Subramaniyapuram,4500,347654,87265,30.4,90.2,77.5,23,2,No Supply
2024-01-02,Ram Nagar,16409,194055,201734,28.3,80.1,85.2,3,5,Normal
2024-01-02,Alagesan Road,10564,218417,163824,36.9,86.2,56.6,34,9,Low Pressure
2024-01-02,Nehru Nagar,7346,266604,77788,27.9,130.6,48.5,28,0,Normal
2024-01-02,Sowripalayam,11436,253259,325128,31.5,38.0,64.9,29,8,Delayed
2024-01-02,Avarampalayam,6430,310195,193748,34.2,0.5,68.4,29,1,No Supply
2024-01-02,Chokkampudur,3145,248847,271888,37.4,6.3,50.5,23,3,No Supply
2024-01-02,Marudhamalai Road,13426,103001,117364,35.2,12.5,65.9,23,10,Low Pressure
2024-01-02,Thirumalayampalayam,4868,271169,229352,34.4,9.1,65.1,28,5,Normal
2024-01-03,Gandhipuram,6564,121665,296584,25.0,26.1,84.0,5,4,Normal
2024-01-03,RS Puram,11245,126262,126898,31.8,73.5,58.0,34,1,Low Pressure
2024-01-03,Saibaba Colony,17551,219903,57906,25.0,31.3,71.8,8,3,Low Pressure
2024-01-03,Peelamedu,20764,301249,198746,36.8,37.2,51.5,8,2,Normal
2024-01-03,Ukkadam,16774,141121,75559,25.5,0.7,79.8,25,1,Low Pressure
2024-01-03,Singanallur,11228,194092,136988,36.3,69.3,69.0,28,2,Low Pressure
2024-01-03,Ganapathy,4591,71303,211633,30.8,121.0,81.7,23,2,No Supply
2024-01-03,Saravanampatti,22623,258747,155228,36.1,97.6,79.0,26,5,No Supply
2024-01-03,Kalapatti,19106,109708,124553,29.4,123.1,45.3,31,10,Normal
2024-01-03,Thudiyalur,6741,102534,142241,35.7,116.5,70.4,1,10,Normal
2024-01-03,Koundampalayam,5064,223038,218383,30.7,109.2,50.3,29,6,Low Pressure
2024-01-03,Vadavalli,24736,204353,313579,32.4,130.5,50.1,3,3,No Supply
2024-01-03,Race Course,15771,198563,308778,24.0,107.9,80.4,0,5,Low Pressure
2024-01-03,Town Hall,14383,214893,165374,38.4,105.0,51.5,11,6,Normal
2024-01-03,Sidhapudur,14296,67813,81598,29.8,107.9,79.2,25,1,Low Pressure
2024-01-03,Avinashi Road,16025,292732,195360,22.8,119.6,71.4,28,10,No Supply
2024-01-03,Ondipudur,21207,344186,102930,38.1,21.1,66.6,20,4,Delayed
2024-01-03,Hope College,23563,108901,244488,29.0,43.7,61.0,14,1,Normal
2024-01-03,Chinniyampalayam,18522,86431,288360,33.9,78.8,68.6,26,7,No Supply
2024-01-03,Neelikonampalayam,9573,265390,293373,30.5,2.5,84.8,23,11,Low Pressure
2024-01-03,Podanur,22330,206323,172413,29.3,0.2,74.9,19,3,Normal
2024-01-03,Kuniyamuthur,8797,134744,302859,22.2,81.5,58.4,23,7,Delayed
2024-01-03,Sundarapuram,23172,251184,152471,29.4,95.3,64.8,30,5,No Supply
2024-01-03,Perur,9154,212876,114288,38.1,127.1,81.2,23,8,Normal
2024-01-03,Madukkarai,9731,229631,295198,30.0,86.5,80.1,9,7,No Supply
2024-01-03,Kurichi,19385,328512,226076,22.5,115.4,62.9,1,5,Delayed
2024-01-03,Kuniamuthur,3089,110861,262977,35.8,5.8,78.5,10,2,Delayed
2024-01-03,Malumichampatti,4925,275048,286293,32.1,85.8,59.9,11,7,No Supply
2024-01-03,Selvapuram,6389,84826,150734,22.4,125.3,72.4,21,9,Delayed
2024-01-03,Vellalore,3514,212360,303627,34.2,11.4,48.0,22,11,Normal
2024-01-03,Chettipalayam,4560,143186,212962,38.6,47.2,54.1,31,2,No Supply
2024-01-03,Irugur,23049,338226,312805,27.0,75.9,69.7,27,9,Delayed
2024-01-03,Sulur,15732,295612,328453,21.6,36.1,68.1,29,4,Delayed
2024-01-03,Nallampalayam,3956,291447,151757,38.8,5.6,88.4,31,8,No Supply
2024-01-03,Annur,15003,103585,329922,26.1,50.3,64.2,17,7,Normal
2024-01-03,Mettupalayam Road,22342,79975,207795,37.4,25.2,56.9,13,1,Delayed
2024-01-03,PN Palayam,15197,195720,216205,22.8,56.7,74.6,24,3,Low Pressure
2024-01-03,Tatabad,6814,161520,111272,38.4,36.1,77.8,0,7,No Supply
2024-01-03,Lakshmi Mills,15588,292750,285806,25.2,10.3,53.5,9,9,No Supply
2024-01-03,Five Roads,16149,79816,295011,31.6,132.8,57.6,19,11,Normal
2024-01-03,Puliakulam,6178,242958,327707,29.5,118.2,85.3,27,5,No Supply
2024-01-03,Udayampalayam,20658,94707,247576,30.6,131.1,47.0,34,5,Normal
2024-01-03,Ramanathapuram,8178,220928,190272,31.5,96.3,64.9,23,10,Delayed
2024-01-03,Trichy Road,3125,186945,95272,32.5,121.5,67.7,22,11,Low Pressure
2024-01-03,Peedampalli,15115,99062,154061,26.5,98.7,55.1,7,1,Normal
2024-01-03,Kovilpalayam,12206,214268,155823,25.2,134.9,57.8,0,6,Delayed
2024-01-03,Idigarai,18577,185354,138009,21.3,34.2,86.5,11,10,No Supply
2024-01-03,NGGO Colony,7440,161376,293341,28.1,91.2,50.3,27,1,Low Pressure
2024-01-03,Sitra,20087,65704,254456,38.9,105.3,49.5,30,8,Delayed
2024-01-03,Vilangudi,18740,292549,79165,37.7,61.3,90.1,12,8,Delayed
2024-01-03,Edayarpalayam,20772,325856,288389,32.7,46.0,76.5,6,4,Delayed
2024-01-03,Karumathampatti,5875,222396,264432,25.3,52.3,56.4,25,10,Delayed
2024-01-03,Kovaipudur,14207,347681,157522,30.8,133.2,87.4,27,4,Normal
2024-01-03,Telungupalayam,4177,195832,131889,30.5,34.4,68.8,22,5,Low Pressure
2024-01-03,Sivanandhapuram,16178,249420,74596,24.5,1.1,77.4,14,8,No Supply
2024-01-03,Appanaickenpatti,11906,105379,295900,27.3,14.2,69.3,26,11,Delayed
2024-01-03,Vadavalli West,19489,72289,226048,38.6,115.2,71.1,6,11,Low Pressure
2024-01-03,Kamarajar Road,10052,123646,315798,26.3,111.1,54.3,19,3,Low Pressure
2024-01-03,Red Fields,4798,298976,92668,32.4,133.2,75.1,20,5,No Supply
2024-01-03,Bharathi Nagar,22481,97384,131929,24.1,50.5,90.3,23,0,Low Pressure
2024-01-03,Balaji Nagar,4316,311459,160641,34.2,119.2,78.6,24,1,Delayed
2024-01-03,Sri Ram Nagar,19035,256553,310337,23.8,32.9,88.5,32,6,Normal
2024-01-03,Vivekananda Nagar,19336,128388,66014,25.1,28.9,76.9,8,8,Low Pressure
2024-01-03,Shanmuga Nagar,24400,77727,54358,33.5,56.6,66.4,10,6,No Supply
2024-01-03,Subramaniyapuram,21733,136329,81007,25.9,11.1,49.3,32,3,Delayed
2024-01-03,Ram Nagar,19456,91367,104624,25.1,49.7,48.5,1,11,Normal
2024-01-03,Alagesan Road,5475,195327,175703,36.8,91.1,71.6,2,5,Low Pressure
2024-01-03,Nehru Nagar,8249,311051,175541,31.0,102.3,68.3,7,5,No Supply
2024-01-03,Sowripalayam,17788,102828,322670,34.6,23.9,65.5,29,8,Delayed
2024-01-03,Avarampalayam,6083,220400,201175,35.3,129.8,56.7,27,2,No Supply
2024-01-03,Chokkampudur,11555,78752,263277,30.4,87.3,49.5,31,0,Normal
2024-01-03,Marudhamalai Road,14023,70699,246133,23.9,8.8,50.9,22,1,Normal
2024-01-03,Thirumalayampalayam,21792,95585,228936,31.0,42.8,64.8,22,9,No Supply
2024-01-04,Gandhipuram,7406,150373,140517,29.9,138.9,87.6,11,0,Low Pressure
2024-01-04,RS Puram,24932,94594,241703,30.6,101.0,52.1,6,3,Low Pressure
2024-01-04,Saibaba Colony,11264,138222,162020,21.4,21.5,56.2,13,3,Low Pressure
2024-01-04,Peelamedu,19127,89984,168947,31.9,19.5,89.9,2,2,Normal
2024-01-04,Ukkadam,20432,262380,298289,22.2,3.6,51.8,3,11,No Supply
2024-01-04,Singanallur,10967,71871,275371,26.6,70.9,67.0,5,10,Low Pressure
2024-01-04,Ganapathy,8179,283894,253218,28.0,79.0,54.6,24,1,Low Pressure
2024-01-04,Saravanampatti,6850,237404,206104,28.7,23.9,48.7,27,2,Delayed
2024-01-04,Kalapatti,11800,157539,96851,38.9,114.0,75.8,28,3,No Supply
2024-01-04,Thudiyalur,15411,309062,82371,28.3,91.6,62.7,26,11,Low Pressure
2024-01-04,Koundampalayam,4549,91174,126373,38.3,34.8,51.7,20,5,Low Pressure
2024-01-04,Vadavalli,10758,214249,156297,24.4,86.7,61.2,25,1,Normal
2024-01-04,Race Course,19052,160689,228148,38.3,68.3,50.5,10,4,No Supply
2024-01-04,Town Hall,13749,164131,206193,26.8,103.2,68.8,28,3,Normal
2024-01-04,Sidhapudur,22877,316553,245113,37.1,133.7,84.3,8,8,Normal
2024-01-04,Avinashi Road,19955,63631,187244,26.0,130.2,57.7,20,11,Delayed
2024-01-04,Ondipudur,20159,279861,204544,32.1,9.3,70.9,18,4,No Supply
2024-01-04,Hope College,10083,123936,203686,33.2,5.8,49.2,0,2,No Supply
2024-01-04,Chinniyampalayam,5711,267888,197603,34.3,49.5,59.8,10,3,Delayed
2024-01-04,Neelikonampalayam,8330,185426,114027,27.4,57.7,72.5,31,7,No Supply
2024-01-04,Podanur,17473,138815,89279,38.4,41.4,83.5,24,8,Low Pressure
2024-01-04,Kuniyamuthur,14824,242051,147661,25.7,9.7,93.0,9,4,No Supply
2024-01-04,Sundarapuram,8978,339297,280156,31.5,104.7,85.6,33,10,Low Pressure
2024-01-04,Perur,16070,149489,76806,22.7,52.6,72.5,24,1,Low Pressure
2024-01-04,Madukkarai,15275,237876,134080,32.6,40.0,85.8,11,8,Delayed
2024-01-04,Kurichi,5196,219116,65997,36.2,102.0,83.8,31,10,No Supply
2024-01-04,Kuniamuthur,23714,249784,93541,30.7,101.9,50.4,20,3,Delayed
2024-01-04,Malumichampatti,18921,104638,227558,36.1,102.6,72.1,32,7,Delayed
2024-01-04,Selvapuram,11894,242684,79725,36.7,89.1,83.1,7,9,Low Pressure
2024-01-04,Vellalore,6727,115147,141396,36.9,38.9,54.7,33,10,Normal
2024-01-04,Chettipalayam,6081,225268,217807,35.7,86.1,79.4,12,8,No Supply
2024-01-04,Irugur,22363,168777,69033,36.1,116.6,45.6,33,4,Normal
2024-01-04,Sulur,18379,177322,217823,23.7,42.8,88.8,3,3,No Supply
2024-01-04,Nallampalayam,21313,257621,164914,23.5,92.8,45.1,20,9,Low Pressure
2024-01-04,Annur,8891,252699,83848,28.0,56.3,88.7,28,2,No Supply
2024-01-04,Mettupalayam Road,19100,179119,318787,31.1,84.5,78.8,17,2,Delayed
2024-01-04,PN Palayam,14154,128926,187069,23.7,97.4,82.3,30,3,No Supply
2024-01-04,Tatabad,13258,117775,262652,23.7,45.9,66.7,17,3,Normal
2024-01-04,Lakshmi Mills,22194,349530,292634,34.2,41.9,53.7,5,3,No Supply
2024-01-04,Five Roads,21394,221326,166859,27.9,80.1,74.4,9,1,Delayed
2024-01-04,Puliakulam,24452,303306,143808,31.5,82.1,79.9,18,9,Delayed
2024-01-04,Udayampalayam,8017,272978,112812,29.3,67.3,66.8,4,3,Low Pressure
2024-01-04,Ramanathapuram,22715,220381,196150,37.3,127.3,84.0,5,8,Low Pressure
2024-01-04,Trichy Road,20069,67531,188808,34.5,92.0,92.8,29,7,No Supply
2024-01-04,Peedampalli,7713,200629,181234,26.0,110.2,93.7,15,5,Delayed
2024-01-04,Kovilpalayam,12833,330040,301435,23.8,119.4,47.3,17,9,Delayed
2024-01-04,Idigarai,8560,77073,80682,27.3,126.0,46.1,10,3,No Supply
2024-01-04,NGGO Colony,14918,298511,285718,28.1,115.9,84.4,13,8,Normal
2024-01-04,Sitra,21745,311924,309153,23.6,101.5,54.6,18,2,Normal
2024-01-04,Vilangudi,13123,141912,187660,23.1,21.2,56.3,6,5,Delayed
2024-01-04,Edayarpalayam,5336,266487,147852,25.1,56.6,72.1,21,0,Normal
2024-01-04,Karumathampatti,4633,319013,259093,36.2,60.0,52.0,21,8,Low Pressure
2024-01-04,Kovaipudur,3097,268015,146111,29.3,104.9,59.5,9,2,No Supply
2024-01-04,Telungupalayam,4854,332944,289647,25.7,23.1,61.5,21,7,No Supply
2024-01-04,Sivanandhapuram,21133,60781,164586,38.0,78.4,82.5,1,8,No Supply
2024-01-04,Appanaickenpatti,16565,211426,224023,26.1,54.7,84.9,22,8,Delayed
2024-01-04,Vadavalli West,16489,163850,187924,38.4,28.5,71.2,23,11,No Supply
2024-01-04,Kamarajar Road,24800,321716,318854,32.6,27.4,89.8,17,9,No Supply
2024-01-04,Red Fields,22909,268139,130257,26.7,120.0,90.3,32,11,Normal
2024-01-04,Bharathi Nagar,24494,149087,246103,37.1,91.6,52.6,3,5,Low Pressure
2024-01-04,Balaji Nagar,8906,122987,104400,28.5,137.8,78.4,12,1,No Supply
2024-01-04,Sri Ram Nagar,3923,258137,76170,23.9,1.8,73.0,32,3,Normal
2024-01-04,Vivekananda Nagar,3226,206108,258347,36.4,114.7,72.0,18,11,No Supply
2024-01-04,Shanmuga Nagar,24953,303051,207547,26.7,35.6,86.0,11,11,Low Pressure
2024-01-04,Subramaniyapuram,12177,180987,266823,22.6,100.7,66.0,33,8,Delayed
2024-01-04,Ram Nagar,16230,262041,83866,32.7,86.9,62.6,4,11,Delayed
2024-01-04,Alagesan Road,14101,249139,208588,33.2,45.5,79.3,27,6,Low Pressure
2024-01-04,Nehru Nagar,9344,98547,78795,38.9,10.2,48.9,2,3,Low Pressure
2024-01-04,Sowripalayam,17478,162932,236339,36.7,107.2,84.4,12,1,Delayed
2024-01-04,Avarampalayam,24125,344890,117990,24.0,54.6,64.0,13,3,Normal
2024-01-04,Chokkampudur,12031,337181,176498,28.4,112.3,69.0,24,7,No Supply
2024-01-04,Marudhamalai Road,7249,304325,84518,23.3,99.1,93.6,2,9,Delayed
2024-01-04,Thirumalayampalayam,8075,239526,78365,34.1,42.7,86.5,18,3,Low Pressure
2024-01-05,Gandhipuram,20317,94228,260748,22.2,36.9,47.3,32,7,No Supply
2024-01-05,RS Puram,17424,155028,192312,26.4,104.0,47.4,3,11,No Supply
2024-01-05,Saibaba Colony,17849,123095,167886,32.3,74.4,86.9,29,11,Delayed
2024-01-05,Peelamedu,3778,109812,231572,25.5,30.8,69.4,8,8,No Supply
2024-01-05,Ukkadam,12168,119871,82174,22.5,127.5,68.2,14,8,Delayed
2024-01-05,Singanallur,19789,205639,289141,31.7,98.4,56.9,6,11,No Supply
2024-01-05,Ganapathy,3771,90795,320914,32.7,133.1,75.0,0,7,Delayed
2024-01-05,Saravanampatti,23389,100197,52261,25.6,50.7,68.6,25,10,No Supply
2024-01-05,Kalapatti,16778,220105,161032,27.0,67.5,54.8,34,3,No Supply
2024-01-05,Thudiyalur,8808,146716,104245,36.4,6.9,86.7,19,11,Normal
2024-01-05,Koundampalayam,7697,325972,166656,24.9,55.6,47.2,8,7,Normal
2024-01-05,Vadavalli,7912,64648,85634,36.8,80.5,46.5,10,2,Delayed
2024-01-05,Race Course,20740,243852,242512,28.0,102.2,89.1,11,0,Normal
2024-01-05,Town Hall,3987,194393,259754,21.0,100.5,86.5,19,1,Low Pressure
2024-01-05,Sidhapudur,7033,98211,263981,35.4,92.8,49.6,27,7,No Supply
2024-01-05,Avinashi Road,6808,338859,205378,27.4,131.8,78.4,9,1,Delayed
